product_id,name,brand,category,price,description,tags,stock_level,rating,is_waterproof,gender
PROD001,SpeedStride Pro,Nike,running shoes,129.99,"High-performance road running shoe with responsive ZoomX foam cushioning and breathable Flyknit upper. Ideal for tempo runs and race day, offering exceptional energy return. Weighs only 7.2 oz for a barely-there feel.",lightweight|cushioned|road|speed,85,4.6,False,men
PROD002,CloudRunner 3,HOKA,running shoes,89.99,Maximalist cushioned running shoe with a meta-rocker geometry for smooth heel-to-toe transitions. Features an engineered mesh upper for superior breathability and early-stage toe spring. Perfect for daily training and long distances.,cushioned|road|daily-trainer|breathable,120,4.5,False,women
PROD003,FreshFoam Elite,New Balance,running shoes,109.99,Premium daily trainer with FreshFoam X midsole technology for plush yet responsive cushioning. The Hypoknit upper adapts to foot shape while maintaining structural support. Excellent for neutral runners covering high weekly mileage.,cushioned|neutral|daily-trainer|road,65,4.4,False,unisex
PROD004,Wave Rider Neo,Mizuno,running shoes,94.99,Versatile neutral running shoe featuring Wave plate technology for smooth transitions and balanced cushioning. Breathable AirMesh upper keeps feet cool during warm-weather runs. A reliable workhorse for daily training.,neutral|cushioned|breathable|road,45,4.3,False,men
PROD005,Gel-Nimbus Lite,ASICS,running shoes,119.99,Ultra-lightweight neutral road runner with FlyteFoam Blast cushioning for responsive toe-offs. Features a sustainable recycled mesh upper and OrthoLite X-55 insole. Designed for runners seeking plush comfort on long runs.,lightweight|cushioned|road|eco-friendly,90,4.7,False,women
PROD006,Kinvara 15,Saucony,running shoes,79.99,Lightweight and responsive road running shoe with PWRRUN cushioning and 4mm drop for a natural ride. The FORMFIT contoured footbed cradles the foot for a personalized fit. A fan-favorite for fast training and racing.,lightweight|speed|road|low-drop,110,4.5,False,unisex
PROD007,Ghost 16,Brooks,running shoes,99.99,Smooth and balanced daily trainer with DNA LOFT v2 cushioning for soft landings and smooth transitions. 3D Fit Print upper provides adaptive structure without excess weight. America's best-selling neutral road shoe.,cushioned|neutral|road|daily-trainer,150,4.6,False,men
PROD008,Floatride Energy 5,Reebok,running shoes,59.99,Budget-friendly performance running shoe with Floatride Energy Foam for lightweight responsive cushioning. The lightweight mesh upper keeps your foot secure and well-ventilated. An exceptional value for new and experienced runners alike.,lightweight|cushioned|road|value,75,4.2,False,women
PROD009,Pegasus 41,Nike,running shoes,84.99,Iconic everyday running shoe with React foam and Zoom Air unit for springy cushioning. Engineered mesh upper provides targeted airflow where you need it most. Versatile enough for easy jogs and uptempo workouts.,cushioned|road|daily-trainer|versatile,200,4.5,False,unisex
PROD010,Ultraboost Light,Adidas,running shoes,139.99,Premium running shoe featuring Light BOOST midsole for incredible energy return and plush cushioning. Continental rubber outsole delivers wet-weather grip on paved surfaces. Primeknit upper wraps the foot in adaptive comfort.,cushioned|road|premium|grip,55,4.7,False,men
